Packetnummer;Ware;fuellstand;veschickt um;angekommen um
559;milch;66;2017-06-11 20:29:12.144;2017-06-11 20:29:12.146
560;milch;64;2017-06-11 20:29:17.147;2017-06-11 20:29:17.15
561;milch;62;2017-06-11 20:29:22.15;2017-06-11 20:29:22.153
562;milch;60;2017-06-11 20:29:27.154;2017-06-11 20:29:27.156
563;milch;58;2017-06-11 20:29:32.157;2017-06-11 20:29:32.16
564;milch;56;2017-06-11 20:29:37.161;2017-06-11 20:29:37.164
565;milch;54;2017-06-11 20:29:42.167;2017-06-11 20:29:42.169
566;milch;52;2017-06-11 20:29:47.171;2017-06-11 20:29:47.173
567;milch;50;2017-06-11 20:29:52.174;2017-06-11 20:29:52.176
568;milch;48;2017-06-11 20:29:57.178;2017-06-11 20:29:57.18
569;milch;46;2017-06-11 20:30:02.181;2017-06-11 20:30:02.184
570;milch;44;2017-06-11 20:30:07.185;2017-06-11 20:30:07.187
571;milch;42;2017-06-11 20:30:12.19;2017-06-11 20:30:12.193
572;milch;40;2017-06-11 20:30:17.193;2017-06-11 20:30:17.194
573;milch;38;2017-06-11 20:30:22.196;2017-06-11 20:30:22.199
574;milch;36;2017-06-11 20:30:27.2;2017-06-11 20:30:27.202
575;milch;34;2017-06-11 20:30:32.204;2017-06-11 20:30:32.206
576;milch;32;2017-06-11 20:30:37.207;2017-06-11 20:30:37.21
577;milch;30;2017-06-11 20:30:42.212;2017-06-11 20:30:42.214
578;milch;28;2017-06-11 20:30:47.216;2017-06-11 20:30:47.219
579;milch;26;2017-06-11 20:30:52.219;2017-06-11 20:30:52.222
580;milch;24;2017-06-11 20:30:57.223;2017-06-11 20:30:57.226
581;milch;22;2017-06-11 20:31:02.226;2017-06-11 20:31:02.229
582;milch;20;2017-06-11 20:31:07.229;2017-06-11 20:31:07.232
583;milch;18;2017-06-11 20:31:12.236;2017-06-11 20:31:12.238
584;milch;16;2017-06-11 20:31:17.239;2017-06-11 20:31:17.242
585;milch;14;2017-06-11 20:31:22.243;2017-06-11 20:31:22.244
586;milch;12;2017-06-11 20:31:27.245;2017-06-11 20:31:27.248
587;milch;10;2017-06-11 20:31:32.249;2017-06-11 20:31:32.251
588;milch;98;2017-06-11 20:31:37.272;2017-06-11 20:31:37.274
589;milch;96;2017-06-11 20:31:42.277;2017-06-11 20:31:42.279
590;milch;94;2017-06-11 20:31:47.279;2017-06-11 20:31:47.281
591;milch;92;2017-06-11 20:31:52.283;2017-06-11 20:31:52.285
592;milch;90;2017-06-11 20:31:57.287;2017-06-11 20:31:57.289
593;milch;88;2017-06-11 20:32:02.29;2017-06-11 20:32:02.293
594;milch;86;2017-06-11 20:32:07.294;2017-06-11 20:32:07.297
595;milch;84;2017-06-11 20:32:12.301;2017-06-11 20:32:12.303
596;milch;82;2017-06-11 20:32:17.304;2017-06-11 20:32:17.307
597;milch;80;2017-06-11 20:32:22.307;2017-06-11 20:32:22.31
598;milch;78;2017-06-11 20:32:27.31;2017-06-11 20:32:27.312
599;milch;76;2017-06-11 20:32:32.313;2017-06-11 20:32:32.315
600;milch;74;2017-06-11 20:32:37.316;2017-06-11 20:32:37.319
601;milch;72;2017-06-11 20:32:42.322;2017-06-11 20:32:42.324
602;milch;70;2017-06-11 20:32:47.325;2017-06-11 20:32:47.328
603;milch;68;2017-06-11 20:32:52.329;2017-06-11 20:32:52.332
604;milch;66;2017-06-11 20:32:57.333;2017-06-11 20:32:57.336
605;milch;64;2017-06-11 20:33:02.338;2017-06-11 20:33:02.34
606;milch;62;2017-06-11 20:33:07.341;2017-06-11 20:33:07.344
607;milch;60;2017-06-11 20:33:12.347;2017-06-11 20:33:12.35
608;milch;58;2017-06-11 20:33:17.35;2017-06-11 20:33:17.353
609;milch;56;2017-06-11 20:33:22.353;2017-06-11 20:33:22.355
610;milch;54;2017-06-11 20:33:27.357;2017-06-11 20:33:27.36
611;milch;52;2017-06-11 20:33:32.361;2017-06-11 20:33:32.363
612;milch;50;2017-06-11 20:33:37.365;2017-06-11 20:33:37.368
613;milch;48;2017-06-11 20:33:42.371;2017-06-11 20:33:42.373
614;milch;46;2017-06-11 20:33:47.375;2017-06-11 20:33:47.377
615;milch;44;2017-06-11 20:33:52.379;2017-06-11 20:33:52.382
616;milch;42;2017-06-11 20:33:57.383;2017-06-11 20:33:57.386
617;milch;40;2017-06-11 20:34:02.386;2017-06-11 20:34:02.389
618;milch;38;2017-06-11 20:34:07.389;2017-06-11 20:34:07.392
619;milch;36;2017-06-11 20:34:12.395;2017-06-11 20:34:12.397
620;milch;34;2017-06-11 20:34:17.398;2017-06-11 20:34:17.4
621;milch;32;2017-06-11 20:34:22.401;2017-06-11 20:34:22.404
622;milch;30;2017-06-11 20:34:27.406;2017-06-11 20:34:27.408
623;milch;28;2017-06-11 20:34:32.408;2017-06-11 20:34:32.41
624;milch;26;2017-06-11 20:34:37.411;2017-06-11 20:34:37.414
625;milch;24;2017-06-11 20:34:42.417;2017-06-11 20:34:42.419
626;milch;22;2017-06-11 20:34:47.42;2017-06-11 20:34:47.423
627;milch;20;2017-06-11 20:34:52.425;2017-06-11 20:34:52.427
628;milch;18;2017-06-11 20:34:57.428;2017-06-11 20:34:57.431
629;milch;16;2017-06-11 20:35:02.432;2017-06-11 20:35:02.435
630;milch;14;2017-06-11 20:35:07.437;2017-06-11 20:35:07.44
631;milch;12;2017-06-11 20:35:12.442;2017-06-11 20:35:12.444
632;milch;10;2017-06-11 20:35:17.445;2017-06-11 20:35:17.447
633;milch;98;2017-06-11 20:35:22.467;2017-06-11 20:35:22.469
634;milch;96;2017-06-11 20:35:27.471;2017-06-11 20:35:27.474
635;milch;94;2017-06-11 20:35:32.475;2017-06-11 20:35:32.477
636;milch;92;2017-06-11 20:35:37.478;2017-06-11 20:35:37.481
637;milch;90;2017-06-11 20:35:42.483;2017-06-11 20:35:42.485
638;milch;88;2017-06-11 20:35:47.487;2017-06-11 20:35:47.489
639;milch;86;2017-06-11 20:35:52.489;2017-06-11 20:35:52.492
640;milch;84;2017-06-11 20:35:57.492;2017-06-11 20:35:57.496
641;milch;82;2017-06-11 20:36:02.497;2017-06-11 20:36:02.5
642;milch;80;2017-06-11 20:36:07.5;2017-06-11 20:36:07.503
643;milch;78;2017-06-11 20:36:12.506;2017-06-11 20:36:12.508
644;milch;76;2017-06-11 20:36:17.51;2017-06-11 20:36:17.512
645;milch;74;2017-06-11 20:36:22.513;2017-06-11 20:36:22.516
646;milch;72;2017-06-11 20:36:27.518;2017-06-11 20:36:27.52
647;milch;70;2017-06-11 20:36:32.521;2017-06-11 20:36:32.524
648;milch;68;2017-06-11 20:36:37.524;2017-06-11 20:36:37.527
649;milch;66;2017-06-11 20:36:42.529;2017-06-11 20:36:42.53
650;milch;64;2017-06-11 20:36:47.531;2017-06-11 20:36:47.533
651;milch;62;2017-06-11 20:36:52.534;2017-06-11 20:36:52.536
652;milch;60;2017-06-11 20:36:57.538;2017-06-11 20:36:57.541
653;milch;58;2017-06-11 20:37:02.542;2017-06-11 20:37:02.544
654;milch;56;2017-06-11 20:37:07.545;2017-06-11 20:37:07.548
655;milch;54;2017-06-11 20:37:12.551;2017-06-11 20:37:12.553
656;milch;52;2017-06-11 20:37:17.553;2017-06-11 20:37:17.555
657;milch;50;2017-06-11 20:37:22.557;2017-06-11 20:37:22.56
658;milch;48;2017-06-11 20:37:27.561;2017-06-11 20:37:27.564
659;milch;46;2017-06-11 20:37:32.564;2017-06-11 20:37:32.566
660;milch;44;2017-06-11 20:37:37.567;2017-06-11 20:37:37.57
661;milch;42;2017-06-11 20:37:42.573;2017-06-11 20:37:42.575
662;milch;40;2017-06-11 20:37:47.578;2017-06-11 20:37:47.58
663;milch;38;2017-06-11 20:37:52.58;2017-06-11 20:37:52.582
664;milch;36;2017-06-11 20:37:57.584;2017-06-11 20:37:57.587
665;milch;34;2017-06-11 20:38:02.588;2017-06-11 20:38:02.591
666;milch;32;2017-06-11 20:38:07.591;2017-06-11 20:38:07.593
667;milch;30;2017-06-11 20:38:12.596;2017-06-11 20:38:12.598
668;milch;28;2017-06-11 20:38:17.599;2017-06-11 20:38:17.601
669;milch;26;2017-06-11 20:38:22.603;2017-06-11 20:38:22.605
670;milch;24;2017-06-11 20:38:27.608;2017-06-11 20:38:27.61
671;milch;22;2017-06-11 20:38:32.61;2017-06-11 20:38:32.612
672;milch;20;2017-06-11 20:38:37.614;2017-06-11 20:38:37.616
673;milch;18;2017-06-11 20:38:42.62;2017-06-11 20:38:42.622
674;milch;16;2017-06-11 20:38:47.623;2017-06-11 20:38:47.626
675;milch;14;2017-06-11 20:38:52.626;2017-06-11 20:38:52.629
676;milch;12;2017-06-11 20:38:57.63;2017-06-11 20:38:57.633
677;milch;10;2017-06-11 20:39:02.634;2017-06-11 20:39:02.636
678;milch;98;2017-06-11 20:39:07.657;2017-06-11 20:39:07.66
679;milch;96;2017-06-11 20:39:12.663;2017-06-11 20:39:12.665
680;milch;94;2017-06-11 20:39:17.665;2017-06-11 20:39:17.669
681;milch;92;2017-06-11 20:39:22.67;2017-06-11 20:39:22.673
682;milch;90;2017-06-11 20:39:27.674;2017-06-11 20:39:27.677
683;milch;88;2017-06-11 20:39:32.677;2017-06-11 20:39:32.679
684;milch;86;2017-06-11 20:39:37.681;2017-06-11 20:39:37.684
685;milch;84;2017-06-11 20:39:42.686;2017-06-11 20:39:42.688
686;milch;82;2017-06-11 20:39:47.688;2017-06-11 20:39:47.691
687;milch;80;2017-06-11 20:39:52.693;2017-06-11 20:39:52.695
688;milch;78;2017-06-11 20:39:57.696;2017-06-11 20:39:57.699
689;milch;76;2017-06-11 20:40:02.699;2017-06-11 20:40:02.702
690;milch;74;2017-06-11 20:40:07.703;2017-06-11 20:40:07.706
691;milch;72;2017-06-11 20:40:12.708;2017-06-11 20:40:12.71
692;milch;70;2017-06-11 20:40:17.711;2017-06-11 20:40:17.713
693;milch;68;2017-06-11 20:40:22.715;2017-06-11 20:40:22.717
694;milch;66;2017-06-11 20:40:27.718;2017-06-11 20:40:27.72
695;milch;64;2017-06-11 20:40:32.722;2017-06-11 20:40:32.724
696;milch;62;2017-06-11 20:40:37.725;2017-06-11 20:40:37.727
697;milch;60;2017-06-11 20:40:42.73;2017-06-11 20:40:42.732
698;milch;58;2017-06-11 20:40:47.733;2017-06-11 20:40:47.736
699;milch;56;2017-06-11 20:40:52.736;2017-06-11 20:40:52.739
700;milch;54;2017-06-11 20:40:57.74;2017-06-11 20:40:57.742
701;milch;52;2017-06-11 20:41:02.744;2017-06-11 20:41:02.746
702;milch;50;2017-06-11 20:41:07.749;2017-06-11 20:41:07.751
703;milch;48;2017-06-11 20:41:12.753;2017-06-11 20:41:12.755
704;milch;46;2017-06-11 20:41:17.756;2017-06-11 20:41:17.77
705;milch;44;2017-06-11 20:41:22.771;2017-06-11 20:41:22.774
706;milch;42;2017-06-11 20:41:27.774;2017-06-11 20:41:27.777
707;milch;40;2017-06-11 20:41:32.778;2017-06-11 20:41:32.781
708;milch;38;2017-06-11 20:41:37.782;2017-06-11 20:41:37.784
709;milch;36;2017-06-11 20:41:42.787;2017-06-11 20:41:42.789
710;milch;34;2017-06-11 20:41:47.789;2017-06-11 20:41:47.79
711;milch;32;2017-06-11 20:41:52.79;2017-06-11 20:41:52.793
712;milch;30;2017-06-11 20:41:57.793;2017-06-11 20:41:57.796
713;milch;28;2017-06-11 20:42:02.797;2017-06-11 20:42:02.8
714;milch;26;2017-06-11 20:42:07.8;2017-06-11 20:42:07.803
715;milch;24;2017-06-11 20:42:12.805;2017-06-11 20:42:12.807
716;milch;22;2017-06-11 20:42:17.809;2017-06-11 20:42:17.812
717;milch;20;2017-06-11 20:42:22.813;2017-06-11 20:42:22.815
718;milch;18;2017-06-11 20:42:27.816;2017-06-11 20:42:27.819
719;milch;16;2017-06-11 20:42:32.82;2017-06-11 20:42:32.822
720;milch;14;2017-06-11 20:42:37.824;2017-06-11 20:42:37.826
721;milch;12;2017-06-11 20:42:42.829;2017-06-11 20:42:42.832
722;milch;10;2017-06-11 20:42:47.833;2017-06-11 20:42:47.835
723;milch;98;2017-06-11 20:42:52.854;2017-06-11 20:42:52.857
724;milch;96;2017-06-11 20:42:57.858;2017-06-11 20:42:57.86
725;milch;94;2017-06-11 20:43:02.862;2017-06-11 20:43:02.865
726;milch;92;2017-06-11 20:43:07.867;2017-06-11 20:43:07.869
727;milch;90;2017-06-11 20:43:12.872;2017-06-11 20:43:12.874
728;milch;88;2017-06-11 20:43:17.875;2017-06-11 20:43:17.877
729;milch;86;2017-06-11 20:43:22.879;2017-06-11 20:43:22.881
730;milch;84;2017-06-11 20:43:27.883;2017-06-11 20:43:27.886
731;milch;82;2017-06-11 20:43:32.886;2017-06-11 20:43:32.888
732;milch;80;2017-06-11 20:43:37.89;2017-06-11 20:43:37.893
733;milch;78;2017-06-11 20:43:42.896;2017-06-11 20:43:42.898
734;milch;76;2017-06-11 20:43:47.9;2017-06-11 20:43:47.902
735;milch;74;2017-06-11 20:43:52.904;2017-06-11 20:43:52.906
736;milch;72;2017-06-11 20:43:57.907;2017-06-11 20:43:57.91
737;milch;70;2017-06-11 20:44:02.91;2017-06-11 20:44:02.913
738;milch;68;2017-06-11 20:44:07.914;2017-06-11 20:44:07.916
739;milch;66;2017-06-11 20:44:12.919;2017-06-11 20:44:12.921
740;milch;64;2017-06-11 20:44:17.923;2017-06-11 20:44:17.925
741;milch;62;2017-06-11 20:44:22.926;2017-06-11 20:44:22.928
742;milch;60;2017-06-11 20:44:27.93;2017-06-11 20:44:27.932
743;milch;58;2017-06-11 20:44:32.932;2017-06-11 20:44:32.934
744;milch;56;2017-06-11 20:44:37.935;2017-06-11 20:44:37.938
745;milch;54;2017-06-11 20:44:42.941;2017-06-11 20:44:42.943
746;milch;52;2017-06-11 20:44:47.944;2017-06-11 20:44:47.946
747;milch;50;2017-06-11 20:44:52.946;2017-06-11 20:44:52.948
748;milch;48;2017-06-11 20:44:57.949;2017-06-11 20:44:57.952
749;milch;46;2017-06-11 20:45:02.953;2017-06-11 20:45:02.955
750;milch;44;2017-06-11 20:45:07.957;2017-06-11 20:45:07.959
751;milch;42;2017-06-11 20:45:12.962;2017-06-11 20:45:12.964
752;milch;40;2017-06-11 20:45:17.965;2017-06-11 20:45:17.968
753;milch;38;2017-06-11 20:45:22.969;2017-06-11 20:45:22.972
754;milch;36;2017-06-11 20:45:27.972;2017-06-11 20:45:27.975
755;milch;34;2017-06-11 20:45:32.976;2017-06-11 20:45:32.979
756;milch;32;2017-06-11 20:45:37.979;2017-06-11 20:45:37.982
757;milch;30;2017-06-11 20:45:42.984;2017-06-11 20:45:42.986
758;milch;28;2017-06-11 20:45:47.988;2017-06-11 20:45:47.99
759;milch;26;2017-06-11 20:45:52.992;2017-06-11 20:45:52.994
760;milch;24;2017-06-11 20:45:57.996;2017-06-11 20:45:57.999
761;milch;22;2017-06-11 20:46:02.999;2017-06-11 20:46:03.002
762;milch;20;2017-06-11 20:46:08.003;2017-06-11 20:46:08.005
763;milch;18;2017-06-11 20:46:13.009;2017-06-11 20:46:13.011
764;milch;16;2017-06-11 20:46:18.012;2017-06-11 20:46:18.015
765;milch;14;2017-06-11 20:46:23.016;2017-06-11 20:46:23.018
766;milch;12;2017-06-11 20:46:28.019;2017-06-11 20:46:28.021
767;milch;10;2017-06-11 20:46:33.023;2017-06-11 20:46:33.025
768;milch;98;2017-06-11 20:46:38.045;2017-06-11 20:46:38.047
769;milch;96;2017-06-11 20:46:43.051;2017-06-11 20:46:43.053
770;milch;94;2017-06-11 20:46:48.055;2017-06-11 20:46:48.058
771;milch;92;2017-06-11 20:46:53.058;2017-06-11 20:46:53.061
772;milch;90;2017-06-11 20:46:58.061;2017-06-11 20:46:58.063
773;milch;88;2017-06-11 20:47:03.064;2017-06-11 20:47:03.066
774;milch;86;2017-06-11 20:47:08.068;2017-06-11 20:47:08.07
775;milch;84;2017-06-11 20:47:13.073;2017-06-11 20:47:13.075
776;milch;82;2017-06-11 20:47:18.078;2017-06-11 20:47:18.08
777;milch;80;2017-06-11 20:47:23.08;2017-06-11 20:47:23.082
778;milch;78;2017-06-11 20:47:28.084;2017-06-11 20:47:28.086
779;milch;76;2017-06-11 20:47:33.087;2017-06-11 20:47:33.09
780;milch;74;2017-06-11 20:47:38.091;2017-06-11 20:47:38.094
781;milch;72;2017-06-11 20:47:43.096;2017-06-11 20:47:43.098
782;milch;70;2017-06-11 20:47:48.1;2017-06-11 20:47:48.103
783;milch;68;2017-06-11 20:47:53.103;2017-06-11 20:47:53.106
784;milch;66;2017-06-11 20:47:58.107;2017-06-11 20:47:58.109
785;milch;64;2017-06-11 20:48:03.11;2017-06-11 20:48:03.112
786;milch;62;2017-06-11 20:48:08.113;2017-06-11 20:48:08.115
787;milch;60;2017-06-11 20:48:13.119;2017-06-11 20:48:13.121
788;milch;58;2017-06-11 20:48:18.123;2017-06-11 20:48:18.126
789;milch;56;2017-06-11 20:48:23.127;2017-06-11 20:48:23.13
790;milch;54;2017-06-11 20:48:28.13;2017-06-11 20:48:28.132
791;milch;52;2017-06-11 20:48:33.135;2017-06-11 20:48:33.137
792;milch;50;2017-06-11 20:48:38.137;2017-06-11 20:48:38.139
793;milch;48;2017-06-11 20:48:43.143;2017-06-11 20:48:43.145
794;milch;46;2017-06-11 20:48:48.146;2017-06-11 20:48:48.149
795;milch;44;2017-06-11 20:48:53.15;2017-06-11 20:48:53.152
796;milch;42;2017-06-11 20:48:58.152;2017-06-11 20:48:58.154
797;milch;40;2017-06-11 20:49:03.156;2017-06-11 20:49:03.158
798;milch;38;2017-06-11 20:49:08.159;2017-06-11 20:49:08.161
799;milch;36;2017-06-11 20:49:13.165;2017-06-11 20:49:13.167
800;milch;34;2017-06-11 20:49:18.169;2017-06-11 20:49:18.172
801;milch;32;2017-06-11 20:49:23.172;2017-06-11 20:49:23.175
802;milch;30;2017-06-11 20:49:28.176;2017-06-11 20:49:28.178
803;milch;28;2017-06-11 20:49:33.179;2017-06-11 20:49:33.181
804;milch;26;2017-06-11 20:49:38.184;2017-06-11 20:49:38.186
805;milch;24;2017-06-11 20:49:43.189;2017-06-11 20:49:43.191
806;milch;22;2017-06-11 20:49:48.192;2017-06-11 20:49:48.195
807;milch;20;2017-06-11 20:49:53.195;2017-06-11 20:49:53.197
808;milch;18;2017-06-11 20:49:58.199;2017-06-11 20:49:58.202
809;milch;16;2017-06-11 20:50:03.203;2017-06-11 20:50:03.205
810;milch;14;2017-06-11 20:50:08.207;2017-06-11 20:50:08.209
811;milch;12;2017-06-11 20:50:13.212;2017-06-11 20:50:13.214
812;milch;10;2017-06-11 20:50:18.215;2017-06-11 20:50:18.218
813;milch;98;2017-06-11 20:50:23.235;2017-06-11 20:50:23.237
814;milch;96;2017-06-11 20:50:28.239;2017-06-11 20:50:28.242
815;milch;94;2017-06-11 20:50:33.243;2017-06-11 20:50:33.245
816;milch;92;2017-06-11 20:50:38.246;2017-06-11 20:50:38.249
817;milch;90;2017-06-11 20:50:43.252;2017-06-11 20:50:43.254
818;milch;88;2017-06-11 20:50:48.254;2017-06-11 20:50:48.256
819;milch;86;2017-06-11 20:50:53.257;2017-06-11 20:50:53.26
820;milch;84;2017-06-11 20:50:58.261;2017-06-11 20:50:58.264
821;milch;82;2017-06-11 20:51:03.264;2017-06-11 20:51:03.266
822;milch;80;2017-06-11 20:51:08.268;2017-06-11 20:51:08.272
823;milch;78;2017-06-11 20:51:13.277;2017-06-11 20:51:13.279
824;milch;76;2017-06-11 20:51:18.279;2017-06-11 20:51:18.281
825;milch;74;2017-06-11 20:51:23.284;2017-06-11 20:51:23.286
826;milch;72;2017-06-11 20:51:28.286;2017-06-11 20:51:28.289
827;milch;70;2017-06-11 20:51:33.289;2017-06-11 20:51:33.291
828;milch;68;2017-06-11 20:51:38.292;2017-06-11 20:51:38.294
829;milch;66;2017-06-11 20:51:43.298;2017-06-11 20:51:43.3
830;milch;64;2017-06-11 20:51:48.301;2017-06-11 20:51:48.304
831;milch;62;2017-06-11 20:51:53.306;2017-06-11 20:51:53.308
832;milch;60;2017-06-11 20:51:58.308;2017-06-11 20:51:58.311
833;milch;58;2017-06-11 20:52:03.313;2017-06-11 20:52:03.315
834;milch;56;2017-06-11 20:52:08.316;2017-06-11 20:52:08.318
835;milch;54;2017-06-11 20:52:13.322;2017-06-11 20:52:13.324
836;milch;52;2017-06-11 20:52:18.325;2017-06-11 20:52:18.328
837;milch;50;2017-06-11 20:52:23.328;2017-06-11 20:52:23.329
838;milch;48;2017-06-11 20:52:28.331;2017-06-11 20:52:28.333
839;milch;46;2017-06-11 20:52:33.334;2017-06-11 20:52:33.337
840;milch;44;2017-06-11 20:52:38.339;2017-06-11 20:52:38.341
841;milch;42;2017-06-11 20:52:43.343;2017-06-11 20:52:43.343
842;milch;40;2017-06-11 20:52:48.345;2017-06-11 20:52:48.347
843;milch;38;2017-06-11 20:52:53.349;2017-06-11 20:52:53.351
844;milch;36;2017-06-11 20:52:58.352;2017-06-11 20:52:58.355
845;milch;34;2017-06-11 20:53:03.355;2017-06-11 20:53:03.357
846;milch;32;2017-06-11 20:53:08.358;2017-06-11 20:53:08.36
847;milch;30;2017-06-11 20:53:13.364;2017-06-11 20:53:13.366
848;milch;28;2017-06-11 20:53:18.368;2017-06-11 20:53:18.37
849;milch;26;2017-06-11 20:53:23.371;2017-06-11 20:53:23.373
850;milch;24;2017-06-11 20:53:28.374;2017-06-11 20:53:28.377
851;milch;22;2017-06-11 20:53:33.378;2017-06-11 20:53:33.38
852;milch;20;2017-06-11 20:53:38.38;2017-06-11 20:53:38.382
853;milch;18;2017-06-11 20:53:43.386;2017-06-11 20:53:43.388
854;milch;16;2017-06-11 20:53:48.39;2017-06-11 20:53:48.392
855;milch;14;2017-06-11 20:53:53.395;2017-06-11 20:53:53.397
856;milch;12;2017-06-11 20:53:58.399;2017-06-11 20:53:58.401
857;milch;10;2017-06-11 20:54:03.402;2017-06-11 20:54:03.405
858;milch;98;2017-06-11 20:54:08.423;2017-06-11 20:54:08.426
859;milch;96;2017-06-11 20:54:13.431;2017-06-11 20:54:13.433
860;milch;94;2017-06-11 20:54:18.433;2017-06-11 20:54:18.435
861;milch;92;2017-06-11 20:54:23.436;2017-06-11 20:54:23.437
862;milch;90;2017-06-11 20:54:28.439;2017-06-11 20:54:28.442
863;milch;88;2017-06-11 20:54:33.443;2017-06-11 20:54:33.445
864;milch;86;2017-06-11 20:54:38.446;2017-06-11 20:54:38.448
865;milch;84;2017-06-11 20:54:43.451;2017-06-11 20:54:43.454
866;milch;82;2017-06-11 20:54:48.455;2017-06-11 20:54:48.457
867;milch;80;2017-06-11 20:54:53.459;2017-06-11 20:54:53.463
868;milch;78;2017-06-11 20:54:58.464;2017-06-11 20:54:58.466
869;milch;76;2017-06-11 20:55:03.467;2017-06-11 20:55:03.469
870;milch;74;2017-06-11 20:55:08.47;2017-06-11 20:55:08.472
871;milch;72;2017-06-11 20:55:13.475;2017-06-11 20:55:13.477
872;milch;70;2017-06-11 20:55:18.479;2017-06-11 20:55:18.481
873;milch;68;2017-06-11 20:55:23.482;2017-06-11 20:55:23.485
874;milch;66;2017-06-11 20:55:28.486;2017-06-11 20:55:28.489
875;milch;64;2017-06-11 20:55:33.49;2017-06-11 20:55:33.492
876;milch;62;2017-06-11 20:55:38.494;2017-06-11 20:55:38.497
877;milch;60;2017-06-11 20:55:43.5;2017-06-11 20:55:43.502
878;milch;58;2017-06-11 20:55:48.503;2017-06-11 20:55:48.504
879;milch;56;2017-06-11 20:55:53.506;2017-06-11 20:55:53.509
880;milch;54;2017-06-11 20:55:58.51;2017-06-11 20:55:58.512
881;milch;52;2017-06-11 20:56:03.514;2017-06-11 20:56:03.516
882;milch;50;2017-06-11 20:56:08.517;2017-06-11 20:56:08.519
883;milch;48;2017-06-11 20:56:13.522;2017-06-11 20:56:13.524
884;milch;46;2017-06-11 20:56:18.525;2017-06-11 20:56:18.528
885;milch;44;2017-06-11 20:56:23.529;2017-06-11 20:56:23.531
886;milch;42;2017-06-11 20:56:28.532;2017-06-11 20:56:28.534
887;milch;40;2017-06-11 20:56:33.535;2017-06-11 20:56:33.538
888;milch;38;2017-06-11 20:56:38.539;2017-06-11 20:56:38.541
889;milch;36;2017-06-11 20:56:43.543;2017-06-11 20:56:43.544
890;milch;34;2017-06-11 20:56:48.545;2017-06-11 20:56:48.548
891;milch;32;2017-06-11 20:56:53.548;2017-06-11 20:56:53.549
892;milch;30;2017-06-11 20:56:58.55;2017-06-11 20:56:58.552
893;milch;28;2017-06-11 20:57:03.555;2017-06-11 20:57:03.557
894;milch;26;2017-06-11 20:57:08.557;2017-06-11 20:57:08.559
895;milch;24;2017-06-11 20:57:13.562;2017-06-11 20:57:13.565
896;milch;22;2017-06-11 20:57:18.565;2017-06-11 20:57:18.568
897;milch;20;2017-06-11 20:57:23.568;2017-06-11 20:57:23.571
898;milch;18;2017-06-11 20:57:28.572;2017-06-11 20:57:28.575
899;milch;16;2017-06-11 20:57:33.576;2017-06-11 20:57:33.579
900;milch;14;2017-06-11 20:57:38.581;2017-06-11 20:57:38.583
901;milch;12;2017-06-11 20:57:43.585;2017-06-11 20:57:43.587
902;milch;10;2017-06-11 20:57:48.588;2017-06-11 20:57:48.59
903;milch;98;2017-06-11 20:57:53.61;2017-06-11 20:57:53.613
904;milch;96;2017-06-11 20:57:58.613;2017-06-11 20:57:58.616
905;milch;94;2017-06-11 20:58:03.618;2017-06-11 20:58:03.62
906;milch;92;2017-06-11 20:58:08.621;2017-06-11 20:58:08.623
907;milch;90;2017-06-11 20:58:13.627;2017-06-11 20:58:13.629
908;milch;88;2017-06-11 20:58:18.63;2017-06-11 20:58:18.633
909;milch;86;2017-06-11 20:58:23.633;2017-06-11 20:58:23.635
910;milch;84;2017-06-11 20:58:28.635;2017-06-11 20:58:28.637
911;milch;82;2017-06-11 20:58:33.639;2017-06-11 20:58:33.642
912;milch;80;2017-06-11 20:58:38.642;2017-06-11 20:58:38.645
913;milch;78;2017-06-11 20:58:43.648;2017-06-11 20:58:43.65
914;milch;76;2017-06-11 20:58:48.652;2017-06-11 20:58:48.655
915;milch;74;2017-06-11 20:58:53.655;2017-06-11 20:58:53.657
916;milch;72;2017-06-11 20:58:58.658;2017-06-11 20:58:58.661
917;milch;70;2017-06-11 20:59:03.662;2017-06-11 20:59:03.664
918;milch;68;2017-06-11 20:59:08.665;2017-06-11 20:59:08.667
919;milch;66;2017-06-11 20:59:13.671;2017-06-11 20:59:13.673
920;milch;64;2017-06-11 20:59:18.674;2017-06-11 20:59:18.677
921;milch;62;2017-06-11 20:59:23.677;2017-06-11 20:59:23.679
922;milch;60;2017-06-11 20:59:28.681;2017-06-11 20:59:28.684
923;milch;56;2017-06-11 20:59:33.684;2017-06-11 20:59:33.686
924;milch;54;2017-06-11 20:59:38.689;2017-06-11 20:59:38.691
925;milch;52;2017-06-11 20:59:43.695;2017-06-11 20:59:43.697
926;milch;50;2017-06-11 20:59:48.699;2017-06-11 20:59:48.7
927;milch;48;2017-06-11 20:59:53.701;2017-06-11 20:59:53.704
928;milch;46;2017-06-11 20:59:58.705;2017-06-11 20:59:58.708
929;milch;44;2017-06-11 21:00:03.708;2017-06-11 21:00:03.711
930;milch;42;2017-06-11 21:00:08.711;2017-06-11 21:00:08.713
931;milch;40;2017-06-11 21:00:13.716;2017-06-11 21:00:13.719
932;milch;38;2017-06-11 21:00:18.719;2017-06-11 21:00:18.722
933;milch;36;2017-06-11 21:00:23.724;2017-06-11 21:00:23.726
934;milch;34;2017-06-11 21:00:28.726;2017-06-11 21:00:28.728
935;milch;32;2017-06-11 21:00:33.73;2017-06-11 21:00:33.732
